record	partRole	gestureID	stage	gStartTime	gEndTime	gDuration	gFunction	sem_edu	eStartTime	eEndTime	eDuration	Intersection	sDifference	sCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe257	Conversation	436000	436400	400	Depictive, Pragmatic	N-vE197	435886	437490	1604	400	114	D	A	D	A	D	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe265	Conversation	451770	452580	810	Depictive	N-vE208	452293	452891	598	287	-523	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe267	Conversation	452720	453390	670	Depictive	N-vE209	452891	453966	1075	499	-171	A	A	A	A	A	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe273	Conversation	482290	482860	570	Depictive	N-vE223	482327	483653	1326	533	-37	A	A	S	A	S	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe274	Conversation	482860	484300	1440	Depictive	N-vE223	482327	483653	1326	793	533	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe275	Conversation	490220	491280	1060	Depictive	N-vE227	490490	492170	1680	790	-270	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe276	Conversation	491280	492730	1450	Depictive	N-vE227	490490	492170	1680	890	790	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe280	Conversation	506410	507510	1100	Depictive	N-vE236	507213	508926	1713	297	-803	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe281	Conversation	507510	507960	450	Depictive	N-vE236	507213	508926	1713	450	297	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe282	Conversation	507960	508250	290	Depictive	N-vE236	507213	508926	1713	290	747	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe283	Conversation	508250	509260	1010	Depictive	N-vE236	507213	508926	1713	676	1037	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe284	Conversation	509260	510290	1030	Depictive	N-vE238	509658	510251	593	593	-398	A	D	A	S	A	S	A	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe288	Conversation	511590	512640	1050	Depictive	N-vE242	511978	513688	1710	662	-388	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe289	Conversation	512640	513240	600	Depictive	N-vE242	511978	513688	1710	600	662	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe298	Conversation	517090	518040	950	Depictive	N-vE246	517644	519070	1426	396	-554	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe299	Conversation	518040	518500	460	Depictive	N-vE246	517644	519070	1426	460	396	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe301	Conversation	518970	519290	320	Depictive	N-vE247	519070	520074	1004	220	-100	A	A	A	A	S	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe302	Conversation	519290	520380	1090	Depictive	N-vE247	519070	520074	1004	784	220	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe303	Conversation	521530	522760	1230	Depictive	N-vE249	522076	523610	1534	684	-546	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe304	Conversation	522760	523360	600	Depictive	N-vE249	522076	523610	1534	600	684	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe305	Conversation	523360	525030	1670	Depictive	N-vE250	523610	525028	1418	1418	-250	A	D	A	S	A	S	A	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe306	Conversation	525030	525830	800	Depictive	N-vE251	525028	526198	1170	800	2	D	A	S	A	S	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe307	Conversation	525830	526150	320	Depictive	N-vE251	525028	526198	1170	320	802	D	A	D	S	D	S	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe308	Conversation	526150	527240	1090	Depictive	N-vE252	526535	528280	1745	705	-385	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe309	Conversation	527240	528070	830	Depictive	N-vE252	526535	528280	1745	830	705	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe313	Conversation	529450	530290	840	Depictive	N-vE254	529649	530687	1038	641	-199	A	A	A	A	A	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe315	Conversation	530570	532350	1780	Depictive	N-vE255	531299	532628	1329	1051	-729	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe319	Conversation	533770	535190	1420	Depictive	N-vE258	534236	535790	1554	954	-466	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe320	Conversation	535190	536500	1310	Depictive	N-vE259	536094	537110	1016	406	-904	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe322	Conversation	536990	538510	1520	Depictive	N-vE260	537110	538374	1264	1264	-120	A	D	A	D	A	D	S	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe330	Conversation	612840	614590	1750	Depictive	N-vE282	613323	614947	1624	1267	-483	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe331	Conversation	614590	615330	740	Depictive	N-vE282	613323	614947	1624	357	1267	D	D	D	D	D	D	D	D																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe332	Conversation	615330	616050	720	Depictive, Pragmatic	N-vE283	615371	616761	1390	679	-41	A	A	S	A	S	A	S	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe333	Conversation	616050	616390	340	Depictive, Pragmatic	N-vE283	615371	616761	1390	340	679	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe359	Conversation	698950	699590	640	Depictive	N-vE311	698423	700343	1920	640	527	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	N	N-mGe360	Conversation	699590	700530	940	Depictive	N-vE311	698423	700343	1920	753	1167	D	D	D	D	D	D	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	R	R-mGe011	Conversation	655360	656080	720	Depictive, Pragmatic	R-vE047	656026	657628	1602	54	-666	A	A	A	A	A	A	A	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	R	R-mGe016	Retelling	791920	792630	710	Depictive	R-vE076	791589	793548	1959	710	331	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	R	R-mGe017	Retelling	792630	793690	1060	Depictive	R-vE076	791589	793548	1959	918	1041	D	D	D	D	D	D	D	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	R	R-mGe022	Retelling	812260	813460	1200	Depictive	R-vE085	809418	815127	5709	1200	2842	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	R	R-mGe026	Retelling	818520	819110	590	Depictive	R-vE087	817398	820006	2608	590	1122	D	A	D	A	D	A	D	A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
