record	partRole	gestureID	stage	gStartTime	gEndTime	gDuration	lenType	handedness	gFunction	isBeat	isPragmatic	isDepictive	isPointing	eduID	eStartTime	eEndTime	eDuration	maxIntersection	P	R	HM	sDifference	sCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200
4	C	C-mGe059	Conversation	684210	685560	1350	medium	Rt	Pointing, Pragmatic	0	1	0	1	C-vE124	684596	686069	1473	964	0,7141	0,6544	0,682961389	-386	A	A	A	A	A	A	A	A
4	C	C-mGe060	Conversation	685560	686720	1160	medium	Rt	Depictive, Pragmatic	0	1	1	0	C-vE124	684596	686069	1473	509	0,4388	0,3456	0,386631219	964	D	D	D	D	D	D	D	D
4	C	C-mGe061	Conversation	688440	689780	1340	medium	Rt	Pointing, Pragmatic	0	1	0	1	C-vE125	687842	689317	1475	877	0,6545	0,5946	0,623090586	598	D	D	D	D	D	D	D	D
4	C	C-mGe062	Conversation	702890	703950	1060	medium	Rt	Beat	1	0	0	0	C-vE131	703073	704232	1159	877	0,8274	0,7567	0,790446148	-183	A	A	A	A	A	A	S	A
4	C	C-mGe063	Conversation	706480	707060	580	short	Bh-id	Beat	1	0	0	0	C-vE133	706070	706887	817	407	0,7017	0,4982	0,582677166	410	D	D	D	D	D	D	D	S
4	C	C-mGe064	Conversation	707060	707880	820	medium	Rt	Depictive	0	0	1	0	C-vE135	707415	707778	363	363	0,4427	1	0,613693998	-355	A	D	A	D	A	D	A	S
4	C	C-mGe065	Conversation	707880	709130	1250	medium	Bh-dif	Depictive	0	0	1	0	C-vE136	707962	709625	1663	1168	0,9344	0,7023	0,801922417	-82	A	A	A	A	S	A	S	A
4	C	C-mGe066	Conversation	710060	710880	820	medium	Bh-id	Other, Pragmatic	0	1	0	0	C-vE137	710618	710976	358	262	0,3195	0,7318	0,444821732	-558	A	A	A	A	A	S	A	S
4	C	C-mGe067	Conversation	785770	787310	1540	long	Rt	Depictive	0	0	1	0	C-vE162	785749	786999	1250	1229	0,7981	0,9832	0,881003584	21	D	D	S	D	S	D	S	D
4	C	C-mGe068	Conversation	787310	788170	860	medium	Rt	Depictive	0	0	1	0	C-vE163	787316	789191	1875	854	0,993	0,4555	0,624497258	-6	A	A	S	A	S	A	S	A
4	C	C-mGe069	Conversation	788170	788840	670	short	Rt	Depictive	0	0	1	0	C-vE163	787316	789191	1875	670	1	0,3573	0,526522593	854	D	A	D	A	D	A	D	A
4	C	C-mGe070	Conversation	788840	789710	870	medium	Bh-id	Depictive	0	0	1	0	C-vE164	789191	791713	2522	519	0,5966	0,2058	0,306014151	-351	A	A	A	A	A	A	A	A
