record_id	participant	gesture_id	stage	time_begin	time_end	duration	ge_handedness	ge_function	ge_structure	ge_tags	MaxHM	edu_id_form	has_sem_edu	time_begin	time_end	duration	edu_illoc_phas	edu_main_acc	edu_words_num	sDifference	eCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200
4	C	C-mGe063	Conversation	706480	707060	580	Bh-id	Beat	P S		0,58268	C-vE133	no	706070	706887	817	Comma	F	4	410	D	D	D	D	D	D	D	S
4	C	C-mGe064	Conversation	707060	707880	820	Rt	Depictive	P S		0,61369	C-vE135	yes	707415	707778	363	Fst		2	-355	A	D	A	D	A	D	A	S
4	C	C-mGe065	Conversation	707880	709130	1250	Bh-dif	Depictive	P S R	Long R	0,80192	C-vE136	yes	707962	709625	1663	Period	F	4	-82	A	A	A	A	S	A	S	A
4	C	C-mGe066	Conversation	710060	710880	820	Bh-id	Other, Pragmatic	P-S R		0,44482	C-vE137	no	710618	710976	358	Period	L	2	-558	A	A	A	A	A	S	A	S
4	C	C-mGe067	Conversation	785770	787310	1540	Rt	Depictive	P S		0,881	C-vE162	yes	785749	786999	1250	Fst		5	21	D	D	S	D	S	D	S	D
4	C	C-mGe068	Conversation	787310	788170	860	Rt	Depictive	P S		0,6245	C-vE163	no	787316	789191	1875	Comma	R	4	-6	A	A	S	A	S	A	S	A
4	C	C-mGe069	Conversation	788170	788840	670	Rt	Depictive	S		0,52652	C-vE163	yes	787316	789191	1875	Comma	R	4	854	D	A	D	A	D	A	D	A
4	C	C-mGe070	Conversation	788840	789710	870	Bh-id	Depictive	P S		0,30601	C-vE164	no	789191	791713	2522	Period	F	7	-351	A	A	A	A	A	A	A	A
4	C	C-mGe071	Conversation	789710	790400	690	Bh-dif	Depictive	S R		0,42964	C-vE164	yes	789191	791713	2522	Period	F	7	519	D	A	D	A	D	A	D	A
4	C	C-mGe072	Conversation	790400	793660	3260	Rt	Depictive	P S R	Lt R Overlap, Multi-S	0,45417	C-vE164	no	789191	791713	2522	Period	F	7	1209	D	D	D	D	D	D	D	D
4	C	C-mGe073	Conversation	896060	896690	630	Rt	Beat	P-S R		0,44152	C-vE192	no	895504	896396	892	Comma	R	4	556	D	D	D	D	D	D	D	D
4	C	C-mGe074	Conversation	898780	899520	740	Rt	Beat	P-S R		0,49007	C-vE193	no	897555	899835	2280	Period	F	5	1225	D	A	D	A	D	A	D	A
4	C	C-mGe075	Conversation	988320	989580	1260	Rt	Depictive	P S		0,71277	C-vE209	yes	988405	990442	2037	Period	F	6	-85	A	A	A	A	S	A	S	A
4	C	C-mGe076	Conversation	989580	990240	660	Rt	Depictive	P S		0,48943	C-vE209	yes	988405	990442	2037	Period	F	6	1175	D	A	D	A	D	A	D	A
4	C	C-mGe077	Conversation	990240	991440	1200	Rt	Depictive	P S	Multi-S	0,46891	C-vE210	no	990833	992222	1389	Comma	F	5	-593	A	A	A	A	A	A	A	A
4	C	C-mGe078	Conversation	991440	993030	1590	Rt	Depictive	S R	Multi-S, Repeat	0,52501	C-vE210	yes	990833	992222	1389	Comma	F	5	607	D	D	D	D	D	D	D	D
4	C	C-mGe079	Conversation	1038090	1039230	1140	Bh-sym	Depictive	P-S		0,72882	C-vE221	yes	1038370	1039580	1209	Colon	F	4	-284	A	A	A	A	A	A	A	A
4	C	C-mGe080	Conversation	1039230	1039750	520	Bh-sym	Depictive	P-S		0,40833	C-vE221	yes	1038370	1039580	1209	Colon	F	4	856	D	D	D	D	D	D	D	S
4	C	C-mGe081	Conversation	1039750	1040560	810	Bh-sym	Depictive	P S		0,82401	C-vE222	yes	1039580	1040740	1156	Comma	R	3	167	D	A	D	A	D	A	S	S
4	C	C-mGe082	Conversation	1040560	1042530	1970	Bh-sym	Depictive	S R	Long R, R Rebound	0,36853	C-vE223	no	1040740	1041180	445	Fst		1	-179	A	D	A	D	A	D	S	D
4	C	C-mGe083	Conversation	1042530	1042980	450	Bh-id	Pointing, Pragmatic	P-S		0,26155	C-vE224	no	1041700	1044700	2991	Comma	F	11	825	D	A	D	A	D	A	D	A
4	C	C-mGe084	Conversation	1042980	1043410	430	Bh-dif	Other, Pragmatic	P-S		0,25139	C-vE224	no	1041700	1044700	2991	Comma	F	11	1275	D	A	D	A	D	A	D	A
4	C	C-mGe085	Conversation	1043410	1044190	780	Bh-dif	Pointing, Pragmatic	S	S Rebound	0,41368	C-vE224	no	1041700	1044700	2991	Comma	F	11	1705	D	A	D	A	D	A	D	A
4	C	C-mGe086	Conversation	1044190	1045360	1170	Bh-sym	Other, Pragmatic	P S	S Rebound	0,67755	C-vE225	no	1044700	1045490	790	Period	F	3	-506	A	A	A	A	A	A	A	S
4	C	C-mGe087	Conversation	1045360	1047180	1820	Bh-sym	Depictive	P S H	S Rebound	0,78281	C-vE226	no	1045490	1047990	2508	Comma	R	10	-126	A	A	A	A	A	A	S	A
4	C	C-mGe088	Conversation	1047180	1047770	590	Bh-sym	Depictive	S		0,38089	C-vE226	no	1045490	1047990	2508	Comma	R	10	1694	D	A	D	A	D	A	D	A
4	C	C-mGe089	Conversation	1047770	1048150	380	Bh-sym	Depictive	S		0,15512	C-vE226	no	1045490	1047990	2508	Comma	R	10	2284	D	D	D	D	D	D	D	S
4	C	C-mGe090	Conversation	1048150	1049480	1330	Bh-sym	Depictive	P-S H		0,96767	C-vE227	yes	1048220	1049490	1268	Period	F	3	-73	A	A	A	S	S	S	S	S
4	C	C-mGe091	Conversation	1049480	1050780	1300	Bh-sym	Depictive	P S H		0,91802	C-vE228	no	1049680	1050780	1103	Period	F	3	-195	A	D	A	S	A	S	S	S
4	C	C-mGe092	Conversation	1050780	1051470	690	Bh-sym	Depictive	P S		0,78479	C-vE229	no	1050950	1051580	625	Split		3	-174	A	A	A	A	A	A	S	S
4	C	C-mGe093	Conversation	1051470	1052460	990	Bh-sym	Other, Pragmatic	P S R	Long R	0,91029	C-vE230	no	1051580	1052410	827	Comma	R	3	-109	A	D	A	D	A	S	S	S
