record_id	participant	gesture_id	stage	time_begin	time_end	duration	ge_handedness	ge_function	pragmatic	ge_structure	ge_tags	MaxHM	edu_id_form	has_sem_edu	time_begin	time_end	duration	edu_html	edu_illoc_phas	edu_main_acc	edu_words_num	LeftDiff	RightDiff	eCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200
4	C	C-mGe040	Conversation	586050	587130	1080	Bh-sym	Depictive		P-S R	R Rebound	0,40605	C-vE085	1	585234	586533	1299	(? 0.35) ну –/пост<u>а</u>вил её.	Period	LR	3	816	597	D	D	D	D	D	D	D	D
4	C	C-mGe041	Conversation	587660	588540	880	Lt	Other	 Pragmatic	P-S R		0,50312	C-vE086	0	586981	588184	1203	На \/баг<u>а</u>жник в_смысле.	Period	FR	3	679	356	D	D	D	D	D	D	D	D
4	C	C-mGe042	Conversation	593220	594260	1040	Lt	Beat		S R		0,11082	C-vE088	0	591703	593370	1667	он просто наверное \аккуратно \<u>е</u>дет.	Period	F	5	1517	890	D	D	D	D	D	D	D	D
4	C	C-mGe043	Conversation	603730	604380	650	Rt	Depictive		P-S		0,33265	C-vE093	1	603279	606537	3258	То есть (? 0.13) {sm 0.09} он вот так ещё –/ногу закидывает чуть ли не выше \голов<u>ы</u>,	Comma	F	13	451	-2157	D	A	D	A	D	A	D	A
4	C	C-mGe044	Conversation	604380	606270	1890	Rt	Depictive		P-S R	R Rebound, Long R	0,73427	C-vE093	1	603279	606537	3258	То есть (? 0.13) {sm 0.09} он вот так ещё –/ногу закидывает чуть ли не выше \голов<u>ы</u>,	Comma	F	13	1101	-267	D	A	D	A	D	A	D	A
4	C	C-mGe045	Conversation	616020	616610	590	Rt	Beat		P S		0,36887	C-vE097	0	615061	617670	2609	/<sup>?</sup>Велосипед такой с вы= || (0.14) с \выс<u>о</u>кой рамой.	Period	F	7	959	-1060	D	A	D	A	D	A	D	A
4	C	C-mGe046	Conversation	616610	617570	960	Bh-dif	Depictive		P S R		0,53797	C-vE097	1	615061	617670	2609	/<sup>?</sup>Велосипед такой с вы= || (0.14) с \выс<u>о</u>кой рамой.	Period	F	7	1549	-100	D	A	D	A	D	S	D	S
4	C	C-mGe047	Conversation	617570	618210	640	Rt	Depictive		P S R	Lt R Overlap	0,06156	C-vE097	1	615061	617670	2609	/<sup>?</sup>Велосипед такой с вы= || (0.14) с \выс<u>о</u>кой рамой.	Period	F	7	2509	540	D	D	D	D	D	D	D	D
4	C	C-mGe048	Conversation	618210	619530	1320	Lt	Other	 Pragmatic	P S R	Rt R Overlap	0,61126	C-vE098	0	618573	619154	581	\Мужск<u>о</u>й.	Period	F	1	-363	376	A	D	A	D	A	D	A	D
4	C	C-mGe049	Conversation	627990	628800	810	Bh-id	Beat		P-S-R	Shuttle	0,41761	C-vE100	0	628340	629733	1393	По-моему на?а (? 0.19) \ж<u>е</u>нском.	Period	F	3	-350	-933	A	A	A	A	A	A	A	A
4	C	C-mGe050	Conversation	632860	633530	670	Bh-id	Depictive		P S		0,68447	C-vE102	1	632979	633919	940	С \н<u>и</u>зкой рамой.	Period	F	3	-119	-389	A	A	A	A	A	A	S	A
4	C	C-mGe051	Conversation	633530	633910	380	Bh-sym	Depictive		S-R		0,57576	C-vE102	1	632979	633919	940	С \н<u>и</u>зкой рамой.	Period	F	3	551	-9	D	A	D	S	D	S	D	S
4	C	C-mGe052	Conversation	666260	667100	840	Rt	Pointing		P S R		0,69393	C-vE109	0	666233	667814	1581	Там ещё был мужик с ?\коз<u>о</u>й.	Period	rF	6	27	-714	D	A	S	A	S	A	S	A
4	C	C-mGe053	Conversation	667630	668900	1270	Rt	Pointing	 Pragmatic	P-S R		0,88436	C-vE110	0	667814	669000	1186	Ты не \заб<u>у</u>дь написать?	Dir	F	4	-184	-100	A	A	A	A	A	S	S	S
4	C	C-mGe054	Conversation	671930	672730	800	Lt	Beat		S		0,55306	C-vE113	0	672003	673832	1829	(?? 0.26) \Такой ст<sup>?</sup>= || (? 0.10) \стр<u>а</u>нный тоже.	Period	F	4	-73	-1102	A	A	A	A	S	A	S	A
4	C	C-mGe055	Conversation	673940	674390	450	Bh-dif	Pointing	 Pragmatic	S		0,27366	C-vE114	0	674111	675700	1589	\Одетый тоже не по \/?пог<u>о</u>де,,,	Dots-nf	FRl	5	-171	-1310	A	A	A	A	A	A	S	A
4	C	C-mGe056	Conversation	674390	674930	540	Bh-dif	Pointing	 Pragmatic	S		0,50728	C-vE114	0	674111	675700	1589	\Одетый тоже не по \/?пог<u>о</u>де,,,	Dots-nf	FRl	5	279	-770	D	A	D	A	D	A	D	A
4	C	C-mGe057	Conversation	674930	676280	1350	Bh-dif	Beat		S R		0,52399	C-vE114	0	674111	675700	1589	\Одетый тоже не по \/?пог<u>о</u>де,,,	Dots-nf	FRl	5	819	580	D	D	D	D	D	D	D	D
4	C	C-mGe058	Conversation	682800	684210	1410	Rt	Beat		P S R	S Rebound	0,72109	C-vE122	0	683077	683872	795	/–Коз<u>а</u> какая-то,,,	Dots-nf	RL	2	-277	338	A	D	A	D	A	D	A	D
4	C	C-mGe059	Conversation	684210	685560	1350	Rt	Pointing	 Pragmatic	P S-R		0,68296	C-vE124	0	684596	686069	1473	с купированным \хвост<u>о</u>м.	Period	F	3	-386	-509	A	A	A	A	A	A	A	A
4	C	C-mGe060	Conversation	685560	686720	1160	Rt	Depictive	 Pragmatic	P S R		0,38663	C-vE124	1	684596	686069	1473	с купированным \хвост<u>о</u>м.	Period	F	3	964	651	D	D	D	D	D	D	D	D
4	C	C-mGe061	Conversation	688440	689780	1340	Rt	Pointing	 Pragmatic	P-S R		0,62309	C-vE125	0	687842	689317	1475	\Стр<u>а</u>нно им \/??подёргивает.	Period	F	3	598	463	D	D	D	D	D	D	D	D
4	C	C-mGe062	Conversation	702890	703950	1060	Rt	Beat		P-S R		0,79045	C-vE131	0	703073	704232	1159	Просто мимо \?д<u>е</u>рева<sup>?</sup>,	Comma	Fl	3	-183	-282	A	A	A	A	A	A	S	A
4	C	C-mGe063	Conversation	706480	707060	580	Bh-id	Beat		P S		0,58268	C-vE133	0	706070	706887	817	там \н<u>е</u> было дороги,	Comma	F	4	410	173	D	D	D	D	D	D	D	S
4	C	C-mGe064	Conversation	707060	707880	820	Rt	Depictive		P S		0,61369	C-vE135	1	707415	707778	363	по ка= ==	Fst		2	-355	102	A	D	A	D	A	D	A	S
4	C	C-mGe065	Conversation	707880	709130	1250	Bh-dif	Depictive		P S R	Long R	0,80192	C-vE136	1	707962	709625	1663	там \в<u>ы</u>жженная трава такая.	Period	F	4	-82	-495	A	A	A	A	S	A	S	A
4	C	C-mGe066	Conversation	710060	710880	820	Bh-id	Other	 Pragmatic	P-S R		0,44482	C-vE137	0	710618	710976	358	"&lt;Ну&gt; &lt;–в<u>о</u>т&gt;."	Period	L	2	-558	-96	A	A	A	A	A	S	A	S
4	C	C-mGe067	Conversation	785770	787310	1540	Rt	Depictive		P S		0,881	C-vE162	1	785749	786999	1250	и он всё время играет ==	Fst		5	21	311	D	D	S	D	S	D	S	D
